,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,level_0,phase
485,1,1020,8.0,1.0,scene_1,102,195.0,745,940.0,578.5,376.0,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
486,2,2100,8.0,1.0,scene_1,103,150.0,989,1139.0,1011.8,398.4,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
487,1,1020,8.0,1.0,scene_1,103,150.0,989,1139.0,1011.8,398.4,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
488,2,2100,8.0,1.0,scene_1,104,295.0,1181,1476.0,761.2,562.4,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
489,1,1020,8.0,1.0,scene_1,104,295.0,1181,1476.0,761.2,562.4,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
490,2,2100,8.0,1.0,scene_1,105,704.0,1503,2207.0,848.6,551.5,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
491,1,1020,8.0,1.0,scene_1,105,704.0,1503,2207.0,848.6,551.5,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
492,2,2100,8.0,1.0,scene_1,106,225.0,2248,2473.0,624.4,540.4,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
493,1,1020,8.0,1.0,scene_1,106,225.0,2248,2473.0,624.4,540.4,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
494,2,2100,8.0,1.0,scene_1,107,144.0,2533,2677.0,574.8,970.8,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
