,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,constrained_start,constrained_stop,level_0,phase
3381,1,1020,8.0,5.0,lure,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3382,2,2100,8.0,1.0,scene_1,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3383,2,2100,8.0,2.0,possible_answers,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3384,2,2100,8.0,3.0,scene_2,640,237.0,4545.0,4782.0,693.7,506.0,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4545.0,4782.0,7.0,study
3385,1,1020,8.0,1.0,scene_1,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3386,1,1020,8.0,2.0,possible_answers,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3387,1,1020,8.0,3.0,scene_2,640,237.0,4545.0,4782.0,693.7,506.0,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4545.0,4782.0,43.0,study
3388,2,2100,8.0,4.0,target,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3389,2,2100,8.0,4.0,target,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3390,1,1020,8.0,4.0,target,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3391,1,1020,8.0,4.0,target,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3392,2,2100,8.0,5.0,lure,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3393,2,2100,8.0,5.0,lure,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3394,1,1020,8.0,5.0,lure,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3395,1,1020,8.0,5.0,lure,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3396,2,2100,8.0,1.0,scene_1,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3397,2,2100,8.0,2.0,possible_answers,641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3398,2,2100,8.0,3.0,scene_2,641,241.0,4813.0,5054.0,651.0,531.6,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4813.0,5054.0,7.0,study
