,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
78,78,1020,1,426992,3.0,SSACC,L,1046023,nan,nan,None,None,None,None,None,None,1045333,690,nan,nan,26,78,nan
79,79,1020,1,428786,3.0,ESACC,L,1046023,1046070.0,48.0,727.2,564.6,339.0,599.0,10.50,365,1045333,690,737.0,47.0,26,79,nan
80,80,1020,1,444643,3.0,EFIX,L,1046071,1046496.0,426.0,340.8,596.5,3441,None,None,None,1045333,738,1163.0,425.0,29,80,nan
81,81,1020,1,444697,3.0,SSACC,L,1046497,nan,nan,None,None,None,None,None,None,1045333,1164,nan,nan,27,81,nan
82,82,1020,1,446454,3.0,ESACC,L,1046497,1046543.0,47.0,339.1,596.1,758.2,599.1,11.27,423,1045333,1164,1210.0,46.0,27,82,nan
83,83,1020,1,460794,3.0,EFIX,L,1046544,1046928.0,385.0,744.4,585.9,3708,None,None,None,1045333,1211,1595.0,384.0,30,83,nan
84,84,1020,1,460848,3.0,SSACC,L,1046929,nan,nan,None,None,None,None,None,None,1045333,1596,nan,nan,28,84,nan
85,85,1020,1,462124,3.0,ESACC,L,1046929,1046962.0,34.0,741.0,584.4,862.5,531.3,3.57,171,1045333,1596,1629.0,33.0,28,85,nan
86,86,1020,1,481903,3.0,EFIX,L,1046963,1047494.0,532.0,856.3,543.7,4070,None,None,None,1045333,1630,2161.0,531.0,31,86,nan
87,87,1020,1,481957,3.0,SSACC,L,1047495,nan,nan,None,None,None,None,None,None,1045333,2162,nan,nan,29,87,nan
88,88,1020,1,483566,3.0,ESACC,L,1047495,1047537.0,43.0,850.3,543.3,610.0,564.2,6.56,280,1045333,2162,2204.0,42.0,29,88,nan
89,89,1020,1,492541,3.0,EFIX,L,1047538,1047777.0,240.0,617.4,561.6,4140,None,None,None,1045333,2205,2444.0,239.0,32,89,nan
90,90,1020,1,492595,3.0,SSACC,L,1047778,nan,nan,None,None,None,None,None,None,1045333,2445,nan,nan,30,90,nan
91,91,1020,1,494537,3.0,ESACC,L,1047778,1047829.0,52.0,619.0,558.9,497.3,952.8,10.12,417,1045333,2445,2496.0,51.0,30,91,nan
92,92,1020,1,500367,3.0,EFIX,L,1047830,1047984.0,155.0,507.9,953.0,4075,None,None,None,1045333,2497,2651.0,154.0,33,92,nan
93,93,1020,1,500421,3.0,SSACC,L,1047985,nan,nan,None,None,None,None,None,None,1045333,2652,nan,nan,31,93,nan
94,94,1020,1,503177,3.0,ESACC,L,1047985,1048058.0,74.0,511.0,960.3,603.7,525.3,10.89,293,1045333,2652,2725.0,73.0,31,94,nan
95,95,1020,1,510117,3.0,EFIX,L,1048059,1048243.0,185.0,599.6,545.5,3592,None,None,None,1045333,2726,2910.0,184.0,34,95,nan
96,96,1020,1,510171,3.0,SSACC,L,1048244,nan,nan,None,None,None,None,None,None,1045333,2911,nan,nan,32,96,nan
97,97,1020,1,510929,3.0,ESACC,L,1048244,1048263.0,20.0,597.2,553.6,643.3,567.1,1.31,107,1045333,2911,2930.0,19.0,32,97,nan
98,98,1020,1,522642,3.0,EFIX,L,1048264,1048577.0,314.0,643.0,563.0,3516,None,None,None,1045333,2931,3244.0,313.0,35,98,nan
99,99,1020,1,522696,3.0,SSACC,L,1048578,nan,nan,None,None,None,None,None,None,1045333,3245,nan,nan,33,99,nan
100,100,1020,1,524971,3.0,ESACC,L,1048578,1048638.0,61.0,643.6,556.9,835.3,961.7,11.07,281,1045333,3245,3305.0,60.0,33,100,nan
101,101,1020,1,531356,3.0,EFIX,L,1048639,1048808.0,170.0,831.1,950.4,3767,None,None,None,1045333,3306,3475.0,169.0,36,101,nan
102,102,1020,1,531410,3.0,SSACC,L,1048809,nan,nan,None,None,None,None,None,None,1045333,3476,nan,nan,34,102,nan
103,103,1020,1,533500,3.0,ESACC,L,1048809,1048864.0,56.0,830.7,940.7,723.1,511.3,10.89,353,1045333,3476,3531.0,55.0,34,103,nan
104,104,1020,1,540440,3.0,EFIX,L,1048865,1049049.0,185.0,723.9,517.8,3954,None,None,None,1045333,3532,3716.0,184.0,37,104,nan
105,105,1020,1,540494,3.0,SSACC,L,1049050,nan,nan,None,None,None,None,None,None,1045333,3717,nan,nan,35,105,nan
106,106,1020,1,542473,3.0,ESACC,L,1049050,1049102.0,53.0,721.1,517.8,270.5,567.6,12.21,444,1045333,3717,3769.0,52.0,35,106,nan
107,107,1020,1,552003,3.0,EFIX,L,1049103,1049357.0,255.0,283.7,560.8,4222,None,None,None,1045333,3770,4024.0,254.0,38,107,nan
108,108,1020,1,552057,3.0,SSACC,L,1049358,nan,nan,None,None,None,None,None,None,1045333,4025,nan,nan,36,108,nan
109,109,1020,1,553962,3.0,ESACC,L,1049358,1049408.0,51.0,282.2,555.5,589.0,521.6,8.33,416,1045333,4025,4075.0,50.0,36,109,nan
110,110,1020,1,566230,3.0,EFIX,L,1049409,1049737.0,329.0,599.9,522.6,4480,None,None,None,1045333,4076,4404.0,328.0,39,110,nan
111,111,1020,1,566284,3.0,SSACC,L,1049738,nan,nan,None,None,None,None,None,None,1045333,4405,nan,nan,37,111,nan
112,112,1020,1,567005,3.0,ESACC,L,1049738,1049756.0,19.0,598.9,527.0,637.9,535.7,1.09,103,1045333,4405,4423.0,18.0,37,112,nan
113,113,1020,1,573464,3.0,EFIX,L,1049757,1049928.0,172.0,631.1,537.6,4490,None,None,None,1045333,4424,4595.0,171.0,40,113,nan
114,114,1020,1,573518,3.0,SSACC,L,1049929,nan,nan,None,None,None,None,None,None,1045333,4596,nan,nan,38,114,nan
115,115,1020,1,574091,3.0,ESACC,L,1049929,1049943.0,15.0,630.2,537.1,602.2,528.3,0.80,74,1045333,4596,4610.0,14.0,38,115,nan
116,116,1020,1,593241,3.0,EFIX,L,1049944,1050458.0,515.0,608.9,523.7,4400,None,None,None,1045333,4611,5125.0,514.0,41,116,nan
117,117,1020,1,593295,3.0,SSACC,L,1050459,nan,nan,None,None,None,None,None,None,1045333,5126,nan,nan,39,117,nan
118,118,1020,1,595402,3.0,ESACC,L,1050459,1050512.0,54.0,608.9,513.0,902.8,530.4,8.01,347,1045333,5126,5179.0,53.0,39,118,nan
119,119,1020,1,598753,3.0,EFIX,L,1050513,1050600.0,88.0,912.2,529.8,4414,None,None,None,1045333,5180,5267.0,87.0,42,119,nan
120,120,1020,1,623093,4.0,EFIX,L,1051239,1051865.0,627.0,634.9,525.2,3073,None,None,None,1051232,7,633.0,626.0,43,120,nan
121,121,1020,1,623147,4.0,SSACC,L,1051866,nan,nan,None,None,None,None,None,None,1051232,634,nan,nan,40,121,nan
122,122,1020,1,624608,4.0,ESACC,L,1051866,1051904.0,39.0,628.3,516.8,808.2,515.0,4.92,216,1051232,634,672.0,38.0,40,122,nan
123,123,1020,1,633213,4.0,EFIX,L,1051905,1052134.0,230.0,807.7,505.1,3490,None,None,None,1051232,673,902.0,229.0,44,123,nan
124,124,1020,1,633267,4.0,SSACC,L,1052135,nan,nan,None,None,None,None,None,None,1051232,903,nan,nan,41,124,nan
125,125,1020,1,634913,4.0,ESACC,L,1052135,1052178.0,44.0,808.2,499.6,560.8,442.5,6.96,301,1051232,903,946.0,43.0,41,125,nan
126,126,1020,1,648069,4.0,EFIX,L,1052179,1052531.0,353.0,567.9,436.5,3833,None,None,None,1051232,947,1299.0,352.0,45,126,nan
127,127,1020,1,648123,4.0,SSACC,L,1052532,nan,nan,None,None,None,None,None,None,1051232,1300,nan,nan,42,127,nan
128,128,1020,1,649103,4.0,ESACC,L,1052532,1052557.0,26.0,567.7,435.2,656.2,476.3,2.67,180,1051232,1300,1325.0,25.0,42,128,nan
129,129,1020,1,656302,4.0,EFIX,L,1052558,1052749.0,192.0,656.9,498.6,4161,None,None,None,1051232,1326,1517.0,191.0,46,129,nan
130,130,1020,1,656356,4.0,SSACC,L,1052750,nan,nan,None,None,None,None,None,None,1051232,1518,nan,nan,43,130,nan
131,131,1020,1,657262,4.0,ESACC,L,1052750,1052773.0,24.0,652.8,498.0,579.8,491.3,2.01,129,1051232,1518,1541.0,23.0,43,131,nan
132,132,1020,1,664498,4.0,EFIX,L,1052774,1052966.0,193.0,586.8,491.6,4329,None,None,None,1051232,1542,1734.0,192.0,47,132,nan
133,133,1020,1,664552,4.0,SSACC,L,1052967,nan,nan,None,None,None,None,None,None,1051232,1735,nan,nan,44,133,nan
134,134,1020,1,665384,4.0,ESACC,L,1052967,1052988.0,22.0,586.4,488.4,645.2,501.7,1.65,141,1051232,1735,1756.0,21.0,44,134,nan
135,135,1020,1,676209,4.0,EFIX,L,1052989,1053278.0,290.0,635.1,500.2,4327,None,None,None,1051232,1757,2046.0,289.0,48,135,nan
136,136,1020,1,676263,4.0,SSACC,L,1053279,nan,nan,None,None,None,None,None,None,1051232,2047,nan,nan,45,136,nan
137,137,1020,1,677095,4.0,ESACC,L,1053279,1053300.0,22.0,632.5,496.1,582.5,471.7,1.52,127,1051232,2047,2068.0,21.0,45,137,nan
138,138,1020,1,687143,4.0,EFIX,L,1053301,1053569.0,269.0,593.4,470.5,4378,None,None,None,1051232,2069,2337.0,268.0,49,138,nan
139,139,1020,1,687197,4.0,SSACC,L,1053570,nan,nan,None,None,None,None,None,None,1051232,2338,nan,nan,46,139,nan
140,140,1020,1,687696,4.0,ESACC,L,1053570,1053582.0,13.0,593.6,473.5,613.5,495.4,0.79,77,1051232,2338,2350.0,12.0,46,140,nan
141,141,1020,1,703775,4.0,EFIX,L,1053583,1054014.0,432.0,614.6,511.8,4020,None,None,None,1051232,2351,2782.0,431.0,50,141,nan
142,142,1020,1,703829,4.0,SSACC,L,1054015,nan,nan,None,None,None,None,None,None,1051232,2783,nan,nan,47,142,nan
143,143,1020,1,704217,4.0,ESACC,L,1054015,1054024.0,10.0,617.5,523.2,603.7,526.6,0.39,44,1051232,2783,2792.0,9.0,47,143,nan
144,144,1020,1,724847,4.0,EFIX,L,1054025,1054579.0,555.0,603.5,524.6,3370,None,None,None,1051232,2793,3347.0,554.0,51,144,nan
145,145,1020,1,724901,4.0,SSACC,L,1054580,nan,nan,None,None,None,None,None,None,1051232,3348,nan,nan,48,145,nan
